,,0,1,2,3,4,5,6,7,8
LBGI,adult#001,0.0,0.0,0.0,0.0,0.0,0.1517558286303791,0.26954301021853455,0.0,0.0
HBGI,adult#001,1.5108776953447527,1.5106267352979985,1.668751671645374,16.03002437480338,13.192639221595073,0.0,0.0,3.385003813872762,0.0006997452413616324
Risk Index,adult#001,1.5108776953447527,1.5106267352979985,1.668751671645374,16.03002437480338,13.192639221595073,0.1517558286303791,0.26954301021853455,3.385003813872762,0.0006997452413616324
